Model,Accuracy,Class_1_Recall,Class_1_F1
Logistic Regression (Balanced),0.8147321428571429,0.75,0.5654450261780105
Random Forest,0.8772321428571429,0.3611111111111111,0.48598130841121495
Gradient Boosting,0.8839285714285714,0.4305555555555556,0.543859649122807
Random Forest (Tuned),0.8727678571428571,0.3194444444444444,0.44660194174757284
